ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-10.71,50.39,1.82,-11.22,25.29,-18.5,0.8355525,1.162926,-26.75405
-19.14,61.85,-6.57,-7.07,25.65,-21.28,0.9698353,1.94191,-26.54974
-19.14,61.85,-6.57,-7.07,25.65,-21.28,0.9698353,1.94191,-26.54974
-19.14,61.85,-6.57,-7.07,25.65,-21.28,1.002337,2.230293,-26.26482
-19.14,61.85,-6.57,-7.07,25.65,-21.28,1.002337,2.230293,-26.26482
-19.14,61.85,-6.57,-7.07,25.65,-21.28,1.002337,2.230293,-26.26482
-21.5,62.86,-17.54,-5.13,24.23,-21.38,1.133898,2.20414,-26.02171
-21.5,62.86,-17.54,-5.13,24.23,-21.38,1.133898,2.20414,-26.02171
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.455114,1.84568,-26.09351
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.455114,1.84568,-26.09351
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.507399,1.340691,-26.50465
-26.35,57.29,-21.65,0.73,18.65,-20.72,1.507399,1.340691,-26.50465
-26.87,46.64,-25.46,4.52,14.75,-20.48,1.773495,1.277878,-26.89725
-26.87,46.64,-25.46,4.52,14.75,-20.48,1.773495,1.277878,-26.89725
-26.87,46.64,-25.46,4.52,14.75,-20.48,1.773495,1.277878,-26.89725
-24.95,31.05,-29.84,9.59,9.49,-19.77,2.756043,1.790833,-27.11928
-24.95,31.05,-29.84,9.59,9.49,-19.77,2.756043,1.790833,-27.11928
-24.95,31.05,-29.84,9.59,9.49,-19.77,3.076146,2.102074,-27.10323
-24.95,31.05,-29.84,9.59,9.49,-19.77,3.076146,2.102074,-27.10323
-23.74,16.93,-20.86,10.72,8.47,-19.07,3.017885,1.792862,-27.52201
-23.74,16.93,-20.86,10.72,8.47,-19.07,3.017885,1.792862,-27.52201
-24.15,10.25,-16.12,12.04,8.95,-19.48,3.339486,1.175934,-28.14069
-24.15,10.25,-16.12,12.04,8.95,-19.48,3.339486,1.175934,-28.14069
-24.15,10.25,-16.12,12.04,8.95,-19.48,3.653545,0.7778931,-28.46435
-24.15,10.25,-16.12,12.04,8.95,-19.48,3.653545,0.7778931,-28.46435
-24.15,10.25,-16.12,12.04,8.95,-19.48,3.653545,0.7778931,-28.46435
-25.4,13.14,-15.69,12.01,10.29,-19.72,3.277331,0.9840012,-28.50591
-25.4,13.14,-15.69,12.01,10.29,-19.72,3.277331,0.9840012,-28.50591
-28.35,25.46,-12.88,8.44,19.4,-18.56,2.219512,1.393463,-28.91817
-28.35,25.46,-12.88,8.44,19.4,-18.56,2.219512,1.393463,-28.91817
