2019_05_13_22_46_37,,杨开智,混合,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-23.93,31.52,-12.5,-5.01,41.37,-0.36,2.494814,-3.084793,1.468803
-23.93,31.52,-12.5,-5.01,41.37,-0.36,2.494814,-3.084793,1.468803
-23.93,31.52,-12.5,-5.01,41.37,-0.36,2.524323,-3.308044,1.182495
-21.22,31.33,-14.72,-11.84,54.11,-3.59,2.570115,-3.543777,0.9777832
-21.22,31.33,-14.72,-11.84,54.11,-3.59,2.570115,-3.543777,0.9777832
-18.65,31.4,-16.69,-14.28,57.97,-5.27,2.536906,-3.815239,0.8364792
-18.65,31.4,-16.69,-14.28,57.97,-5.27,2.359739,-4.108047,0.6531296
-13.84,27.14,-16.87,-18.07,61.82,-12.21,2.327018,-4.134247,0.4783096
-13.84,27.14,-16.87,-18.07,61.82,-12.21,2.327018,-4.134247,0.4783096
-13.84,27.14,-16.87,-18.07,61.82,-12.21,2.419828,-4.018623,0.14431
-11.78,25.49,-16.89,-19.88,60.28,-14.52,2.588611,-3.818253,-0.3657074
-7.82,21.7,-16.37,-21.33,58.35,-17.35,2.793185,-3.680077,-0.9464645
-7.82,21.7,-16.37,-21.33,58.35,-17.35,2.793185,-3.680077,-0.9464645
-7.82,21.7,-16.37,-21.33,58.35,-17.35,3.006827,-3.558998,-1.467094
-5.92,19.66,-15.89,-22.88,55.62,-26.36,3.149507,-3.516693,-1.90889
-5.92,19.66,-15.89,-22.88,55.62,-26.36,3.149507,-3.516693,-1.90889
-5.92,19.66,-15.89,-22.88,55.62,-26.36,3.187882,-3.637306,-2.281975
-4.07,17.29,-14.83,-22.84,44.5,-22.33,3.059273,-3.566238,-2.726517
-0.37,13.35,-14.59,-22.27,30.01,-21.24,2.537743,-3.218376,-3.331619
-0.37,13.35,-14.59,-22.27,30.01,-21.24,2.537743,-3.218376,-3.331619
-0.37,13.35,-14.59,-22.27,30.01,-21.24,1.224056,-2.887398,-4.240433
1.36,11.05,-13.6,-20.42,21.16,-19.12,0.8963612,-2.79142,-4.486511
1.36,11.05,-13.6,-20.42,21.16,-19.12,0.8963612,-2.79142,-4.486511
4.23,7.82,-13.02,-20.1,14.74,-18.25,0.7842274,-2.5672,-4.913147
4.23,7.82,-13.02,-20.1,14.74,-18.25,1.202846,-2.515915,-4.944366
4.99,6.8,-12.55,-21.78,10.34,-11.83,1.557111,-2.599579,-4.785622
4.99,6.8,-12.55,-21.78,10.34,-11.83,1.557111,-2.599579,-4.785622
4.99,6.8,-12.55,-21.78,10.34,-11.83,1.587308,-2.733589,-4.457848
5.32,6.99,-12.17,-23.25,12.09,-10.75,1.214462,-2.859528,-4.035469
5.32,6.99,-12.17,-23.25,12.09,-10.75,1.214462,-2.859528,-4.035469
4.93,8.47,-12.26,-24.48,18.26,-8.94,0.5415235,-3.005219,-3.627396
4.19,13.34,-14.66,-25.88,23.59,-9.01,-0.1425476,-3.186142,-3.268753
4.19,13.34,-14.66,-25.88,23.59,-9.01,-0.5230103,-3.315598,-2.983559
4.19,13.34,-14.66,-25.88,23.59,-9.01,-0.5230103,-3.315598,-2.983559
4.19,13.34,-14.66,-25.88,23.59,-9.01,-0.4207458,-3.317696,-2.753532
1.6,18.68,-9.77,-25.33,26.88,-9.76,0.07656278,-3.28933,-2.491081
-0.71,23.99,-6.57,-22.54,31.65,-13.31,0.7304788,-3.214691,-2.144478
-0.71,23.99,-6.57,-22.54,31.65,-13.31,0.7304788,-3.214691,-2.144478
-3.72,33.5,1.2,-19.86,31.85,-15.37,1.319424,-3.154564,-1.731682
-3.72,33.5,1.2,-19.86,31.85,-15.37,1.801789,-3.112907,-1.096481
-3.72,33.5,1.2,-19.86,31.85,-15.37,1.801789,-3.112907,-1.096481
-3.72,33.5,1.2,-19.86,31.85,-15.37,1.838615,-3.109604,-0.7167053
-10.3,43.24,4.15,-17.23,31.24,-16.7,1.78854,-3.097153,-0.4193954
-13.48,49.4,4.66,-12.29,28.27,-18.37,1.764401,-3.119202,-0.1941299
-13.48,49.4,4.66,-12.29,28.27,-18.37,1.764401,-3.119202,-0.1941299
-18.33,58.69,-0.82,-10.12,26.61,-18.52,1.811594,-3.207977,-0.02005005
-18.33,58.69,-0.82,-10.12,26.61,-18.52,1.930239,-3.281898,0.127182
-18.33,58.69,-0.82,-10.12,26.61,-18.52,1.930239,-3.281898,0.127182
-18.33,58.69,-0.82,-10.12,26.61,-18.52,2.092367,-3.33017,0.2889786
-20.34,61.42,-5.28,-6.01,22.85,-18.18,2.241396,-3.311455,0.4914093
-22.21,61.78,-9.18,-3.88,20.88,-18.01,2.319855,-3.086884,0.7337112
-22.21,61.78,-9.18,-3.88,20.88,-18.01,2.319855,-3.086884,0.7337112
-25.3,62.43,-19.27,-1.79,18.72,-17.63,2.312185,-2.836288,1.038734
-25.3,62.43,-19.27,-1.79,18.72,-17.63,2.130011,-2.550072,1.542625
-26.35,60.17,-22.92,2.27,14.52,-17.01,2.047092,-2.47821,1.69931
-26.35,60.17,-22.92,2.27,14.52,-17.01,2.047092,-2.47821,1.69931
-26.35,60.17,-22.92,2.27,14.52,-17.01,1.9638,-2.360718,2.183907
-26.95,51.84,-21.25,4.24,12.22,-16.49,2.019372,-2.365829,2.352242
-26.95,51.84,-21.25,4.24,12.22,-16.49,2.019372,-2.365829,2.352242
-27.05,46.12,-22.46,6.13,10.14,-16.13,2.660283,-2.23439,2.953384
-25.82,38.36,-27.67,7.93,8.08,-15.7,3.5383,-2.014366,3.38958
-25.82,38.36,-27.67,7.93,8.08,-15.7,4.309018,-1.783958,3.657921
-25.82,38.36,-27.67,7.93,8.08,-15.7,4.309018,-1.783958,3.657921
-25.03,30.76,-25.05,10.39,5.41,-14.96,4.619709,-1.498924,3.666313
-25.03,30.76,-25.05,10.39,5.41,-14.96,4.464095,-1.443199,3.473595
-25.03,30.76,-25.05,10.39,5.41,-14.96,4.464095,-1.443199,3.473595
