匀速步行,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-24.17,63.8,-8.82,-6.92,24.91,-17.64,2.63357,-2.774788,5.229881
-25.94,63.52,-19.08,-5.03,23.37,-17.8,2.670921,-2.682297,5.217003
-28.64,63.24,-22.78,-1.41,19.83,-17.47,2.70318,-2.622116,5.240433
-28.64,63.24,-22.78,-1.41,19.83,-17.47,2.70318,-2.622116,5.240433
-29.36,55.86,-28.13,0.32,18.28,-17.39,2.766294,-2.522186,5.255859
-29.36,55.86,-28.13,0.32,18.28,-17.39,2.875396,-2.406975,5.206459
-29.47,50.85,-29.19,3.67,15.04,-16.92,3.085842,-2.237251,4.954178
-29.47,50.85,-29.19,3.67,15.04,-16.92,3.085842,-2.237251,4.954178
-29.47,50.85,-29.19,3.67,15.04,-16.92,3.314786,-2.068481,4.705818
-29.04,38.46,-27.63,5.31,13.55,-16.76,3.806704,-1.781151,4.543373
-28.73,31.93,-25.22,6.86,12.03,-15.94,4.471631,-1.654556,4.559174
-28.73,31.93,-25.22,6.86,12.03,-15.94,4.471631,-1.654556,4.559174
-28.73,31.93,-25.22,6.86,12.03,-15.94,5.032938,-1.517456,4.622284
-29.18,26.85,-21.93,9.12,9.86,-15.32,5.249296,-1.439011,4.702187
-29.18,26.85,-21.93,9.12,9.86,-15.32,5.249296,-1.439011,4.702187
-29.18,26.85,-21.93,9.12,9.86,-15.32,5.21412,-1.418259,4.660431
-30.09,20.76,-15.37,9.55,10.33,-15.2,5.219343,-1.569962,4.525108
-31.17,21.27,-10.64,9.35,11.58,-12.45,5.37659,-1.860825,4.293365
-31.17,21.27,-10.64,9.35,11.58,-12.45,5.37659,-1.860825,4.293365
-31.17,21.27,-10.64,9.35,11.58,-12.45,5.594568,-2.154564,4.013969
-32.88,23.74,-7.38,7.06,15.54,-10.77,5.694228,-2.284943,3.748444
-32.88,23.74,-7.38,7.06,15.54,-10.77,5.694228,-2.284943,3.748444
-32.64,28.01,-7.83,4.92,22.41,-10.75,5.377863,-2.210693,3.460541
-32.64,28.01,-7.83,4.92,22.41,-10.75,4.934108,-2.112366,3.252518
-30.58,29.16,-5.43,1.9,28.55,-1.21,4.673022,-2.074829,3.11322
-30.58,29.16,-5.43,1.9,28.55,-1.21,4.673022,-2.074829,3.11322
-30.58,29.16,-5.43,1.9,28.55,-1.21,3.868139,-2.017097,2.561874
