上楼梯,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-2.77,2.68,0.87,-0.33,1.44,-1.54,1.474089,-5.933685,44.8327
-2.58,2.56,0.8,-0.79,2.24,-1.99,1.712694,-6.456139,43.27745
-2.58,2.56,0.8,-0.79,2.24,-1.99,1.712694,-6.456139,43.27745
-2.58,2.56,0.8,-0.79,2.24,-1.99,1.780051,-6.847313,42.01612
-2.58,2.56,0.8,-0.79,2.24,-1.99,1.780051,-6.847313,42.01612
-2.25,2.43,0.56,-3.14,5.87,-3.42,1.496485,-7.27018,40.9297
-2.25,2.43,0.56,-3.14,5.87,-3.42,1.496485,-7.27018,40.9297
-2.15,2.38,0.46,-6.92,11.68,-5.59,1.228149,-7.640305,40.32215
-2.15,2.38,0.46,-6.92,11.68,-5.59,1.228149,-7.640305,40.32215
-2.15,2.38,0.46,-6.92,11.68,-5.59,1.228149,-7.640305,40.32215
-2.15,2.38,0.46,-6.92,11.68,-5.59,1.032946,-8.038017,39.82019
-2.15,2.38,0.46,-6.92,11.68,-5.59,1.032946,-8.038017,39.82019
-1.44,1.77,0.21,-14.49,22.36,-9.19,0.9687485,-8.386253,39.38303
-1.44,1.77,0.21,-14.49,22.36,-9.19,0.9687485,-8.386253,39.38303
-0.69,0.94,0.25,-16.6,26.43,-12.36,1.067633,-8.38298,39.20681
-0.69,0.94,0.25,-16.6,26.43,-12.36,1.067633,-8.38298,39.20681
-0.69,0.94,0.25,-16.6,26.43,-12.36,1.325134,-8.167686,39.13969
-0.69,0.94,0.25,-16.6,26.43,-12.36,1.325134,-8.167686,39.13969
-0.45,0.64,0.27,-18,27.49,-16.59,1.862279,-7.448067,39.22008
-0.45,0.64,0.27,-18,27.49,-16.59,1.862279,-7.448067,39.22008
-0.45,0.64,0.27,-18,27.49,-16.59,1.862279,-7.448067,39.22008
-0.56,0.93,0.01,-18.8,22.55,-15.37,1.874287,-6.734314,39.1466
-0.56,0.93,0.01,-18.8,22.55,-15.37,1.874287,-6.734314,39.1466
-0.56,0.93,0.01,-18.8,22.55,-15.37,1.933973,-6.142502,39.40714
-0.56,0.93,0.01,-18.8,22.55,-15.37,1.933973,-6.142502,39.40714
-0.68,1.37,-0.34,-18.18,19.75,-12.88,2.04824,-5.717041,40.65679
-0.68,1.37,-0.34,-18.18,19.75,-12.88,2.04824,-5.717041,40.65679
-0.85,3.25,-2.21,-18.51,18.43,-6.9,2.061417,-5.719269,42.04642
-0.85,3.25,-2.21,-18.51,18.43,-6.9,2.061417,-5.719269,42.04642
-0.85,3.25,-2.21,-18.51,18.43,-6.9,2.22084,-5.907219,43.44439
-0.85,3.25,-2.21,-18.51,18.43,-6.9,2.22084,-5.907219,43.44439
-0.85,3.25,-2.21,-18.51,18.43,-6.9,2.22084,-5.907219,43.44439
-1.07,4.24,-3.02,-18.81,19.51,-5.34,2.601605,-6.121246,44.57624
-1.07,4.24,-3.02,-18.81,19.51,-5.34,2.601605,-6.121246,44.57624
-1.64,5.78,-4.03,-18.17,20.12,-4.6,3.292491,-6.404678,45.93444
-1.64,5.78,-4.03,-18.17,20.12,-4.6,3.292491,-6.404678,45.93444
-2.84,8.38,-5.06,-15.43,19.66,-5.46,3.775436,-6.718864,46.94555
-2.84,8.38,-5.06,-15.43,19.66,-5.46,3.775436,-6.718864,46.94555
-2.84,8.38,-5.06,-15.43,19.66,-5.46,4.518067,-7.318832,48.21198
-2.84,8.38,-5.06,-15.43,19.66,-5.46,4.518067,-7.318832,48.21198
-2.84,8.38,-5.06,-15.43,19.66,-5.46,4.518067,-7.318832,48.21198
-2.84,8.38,-4.02,-15.43,20.68,-5.82,5.056775,-7.867287,49.05539
-2.84,8.38,-4.02,-15.43,20.68,-5.82,5.056775,-7.867287,49.05539
-2.84,8.38,-4.02,-15.43,20.68,-5.82,5.514596,-8.386055,49.81092
-2.84,8.38,-4.02,-15.43,20.68,-5.82,5.514596,-8.386055,49.81092
-4.83,14.94,-8.6,-13.88,19.12,-5.82,5.929259,-8.89492,50.40045
-4.83,14.94,-8.6,-13.88,19.12,-5.82,5.929259,-8.89492,50.40045
-10.69,32.69,-14.25,-9.74,17.12,-6.89,6.50278,-9.506851,50.88034
-10.69,32.69,-14.25,-9.74,17.12,-6.89,6.50278,-9.506851,50.88034
-10.69,32.69,-14.25,-9.74,17.12,-6.89,6.96909,-9.862755,51.11758
-10.69,32.69,-14.25,-9.74,17.12,-6.89,6.96909,-9.862755,51.11758
-10.69,32.69,-14.25,-9.74,17.12,-6.89,6.96909,-9.862755,51.11758
-20.02,45.7,-14.97,-8.99,16.66,-7.13,7.371955,-10.15609,51.27487
-20.02,45.7,-14.97,-8.99,16.66,-7.13,7.371955,-10.15609,51.27487
-30.22,61.77,-20.43,-6.21,14.04,-7.04,7.695649,-10.45425,51.42841
-30.22,61.77,-20.43,-6.21,14.04,-7.04,7.695649,-10.45425,51.42841
-30.22,61.77,-20.43,-6.21,14.04,-7.04,7.754132,-10.55506,51.46876
-30.22,61.77,-20.43,-6.21,14.04,-7.04,7.754132,-10.55506,51.46876
-40.01,71.67,-23.12,-5.51,13.36,-7.03,7.682766,-10.56089,51.51825
-40.01,71.67,-23.12,-5.51,13.36,-7.03,7.682766,-10.56089,51.51825
-40.01,71.67,-23.12,-5.51,13.36,-7.03,7.682766,-10.56089,51.51825
-50.04,77.89,-26.08,-2.33,9.94,-6.83,7.499614,-10.65724,51.42914
-50.04,77.89,-26.08,-2.33,9.94,-6.83,7.499614,-10.65724,51.42914
-50.04,77.89,-26.08,-2.33,9.94,-6.83,7.415391,-10.90149,51.41425
-50.04,77.89,-26.08,-2.33,9.94,-6.83,7.415391,-10.90149,51.41425
-52.68,78.42,-32.84,-1.14,8.52,-6.79,7.36494,-11.09181,51.53296
-52.68,78.42,-32.84,-1.14,8.52,-6.79,7.36494,-11.09181,51.53296
-58.25,77.44,-35.91,1.86,4.74,-6.23,7.297421,-11.07106,51.80945
-58.25,77.44,-35.91,1.86,4.74,-6.23,7.297421,-11.07106,51.80945
-58.25,77.44,-35.91,1.86,4.74,-6.23,7.375042,-11.15599,51.85462
-58.25,77.44,-35.91,1.86,4.74,-6.23,7.375042,-11.15599,51.85462
-58.25,77.44,-35.91,1.86,4.74,-6.23,7.375042,-11.15599,51.85462
-59.3,76.69,-34.72,2.41,4.38,-6.73,7.347142,-11.52238,52.02478
-59.3,76.69,-34.72,2.41,4.38,-6.73,7.347142,-11.52238,52.02478
-60.02,74.92,-25.62,3.29,4.67,-8.34,7.083085,-12.24657,51.86893
-60.02,74.92,-25.62,3.29,4.67,-8.34,7.083085,-12.24657,51.86893
-60.02,74.92,-25.62,3.29,4.67,-8.34,6.785181,-12.78372,51.2309
-60.02,74.92,-25.62,3.29,4.67,-8.34,6.785181,-12.78372,51.2309
-59.67,74.97,-22.61,4.42,5.36,-10.09,6.36197,-13.23467,50.52194
-59.67,74.97,-22.61,4.42,5.36,-10.09,6.36197,-13.23467,50.52194
-58.11,76.26,-16.71,5.71,5.72,-9.19,5.813303,-13.5085,49.89649
-58.11,76.26,-16.71,5.71,5.72,-9.19,5.813303,-13.5085,49.89649
-58.11,76.26,-16.71,5.71,5.72,-9.19,5.813303,-13.5085,49.89649
-58.11,76.26,-16.71,5.71,5.72,-9.19,4.986622,-13.6976,49.18616
-58.11,76.26,-16.71,5.71,5.72,-9.19,4.986622,-13.6976,49.18616
-56.81,76.22,-17.35,5.52,7.01,-8.15,4.233377,-13.86797,48.48807
-56.81,76.22,-17.35,5.52,7.01,-8.15,4.233377,-13.86797,48.48807
-49.27,71.38,-19.54,-1.06,15.1,3.19,3.413306,-14.1282,47.36707
-49.27,71.38,-19.54,-1.06,15.1,3.19,3.413306,-14.1282,47.36707
-49.27,71.38,-19.54,-1.06,15.1,3.19,2.874019,-14.3191,46.48306
-49.27,71.38,-19.54,-1.06,15.1,3.19,2.874019,-14.3191,46.48306
-49.27,71.38,-19.54,-1.06,15.1,3.19,2.874019,-14.3191,46.48306
-45.96,68.11,-19.92,-4.82,22.94,5.25,2.306622,-14.51134,45.65784
-45.96,68.11,-19.92,-4.82,22.94,5.25,2.306622,-14.51134,45.65784
-36.82,58.12,-19.84,-16.73,46.13,8.9,1.668131,-14.70388,44.83948
-36.82,58.12,-19.84,-16.73,46.13,8.9,1.668131,-14.70388,44.83948
-36.82,58.12,-19.84,-16.73,46.13,8.9,1.314674,-14.80198,44.49609
-36.82,58.12,-19.84,-16.73,46.13,8.9,1.314674,-14.80198,44.49609
-34.14,53.67,-18.26,-20.29,53.48,5.91,1.006962,-14.83837,44.31353
-34.14,53.67,-18.26,-20.29,53.48,5.91,1.006962,-14.83837,44.31353
-29.06,47.46,-17.41,-23.8,60.25,0.96,0.5783153,-14.70907,44.18881
-29.06,47.46,-17.41,-23.8,60.25,0.96,0.5783153,-14.70907,44.18881
-29.06,47.46,-17.41,-23.8,60.25,0.96,0.5783153,-14.70907,44.18881
-26.65,43.85,-16.29,-31.26,70.2,-10.81,0.2282488,-14.41217,44.05685
-26.65,43.85,-16.29,-31.26,70.2,-10.81,0.2282488,-14.41217,44.05685
-24.38,39.13,-13.89,-34.98,76.16,-18.17,-0.07052612,-14.08298,43.83612
-24.38,39.13,-13.89,-34.98,76.16,-18.17,-0.07052612,-14.08298,43.83612
-20.26,33.79,-12.74,-38.55,79.6,-23.07,-0.1845703,-13.65699,43.7352
-20.26,33.79,-12.74,-38.55,79.6,-23.07,-0.1845703,-13.65699,43.7352
-18.51,30.89,-11.63,-44.81,83.32,-29.78,-0.2881165,-13.36367,43.78964
-18.51,30.89,-11.63,-44.81,83.32,-29.78,-0.2881165,-13.36367,43.78964
-15.58,26.04,-9.82,-47.57,84.05,-31.94,-0.6921387,-12.75072,43.91418
-15.58,26.04,-9.82,-47.57,84.05,-31.94,-0.6921387,-12.75072,43.91418
-15.58,26.04,-9.82,-47.57,84.05,-31.94,-0.6921387,-12.75072,43.91418
-14.43,24.23,-9.23,-50.21,82.2,-34.59,-0.4101257,-11.99844,44.59814
